"pauli1","pauli2","bitstring","count"
"x","x","""11""","3963"
"x","x","""00""","4087"
"x","x","""10""","65"
"x","x","""01""","77"
"x","y","""00""","2216"
"x","y","""11""","2026"
"x","y","""01""","1823"
"x","y","""10""","2127"
"x","z","""10""","1924"
"x","z","""01""","1949"
"x","z","""00""","2349"
"x","z","""11""","1970"
"y","x","""10""","1923"
"y","x","""00""","2052"
"y","x","""11""","1998"
"y","x","""01""","2219"
"y","y","""10""","3898"
"y","y","""01""","4106"
"y","y","""00""","125"
"y","y","""11""","63"
"y","z","""11""","1990"
"y","z","""01""","2104"
"y","z","""10""","1896"
"y","z","""00""","2202"
"z","x","""00""","2220"
"z","x","""10""","2016"
"z","x","""11""","1868"
"z","x","""01""","2088"
"z","y","""00""","2106"
"z","y","""10""","2042"
"z","y","""01""","1981"
"z","y","""11""","2063"
"z","z","""00""","4254"
"z","z","""11""","3772"
"z","z","""01""","78"
"z","z","""10""","88"
